Code,Description
P27,"Payment denied based on the Liability Coverage Benefits jurisdictional regulations and/or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.
Start: 11/01/2017"
P28,"Payment adjusted based on the Liability Coverage Benefits jurisdictional regulations and/or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.
Start: 11/01/2017"
P29,"Liability Benefits jurisdictional fee schedule adjustment. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.
Start: 11/01/2017"
P30,"Payment denied for exacerbation when supporting documentation was not complete. To be used for Property and Casualty only.
Start: 11/01/2020"
P31,"Payment denied for exacerbation when treatment exceeds time allowed. To be used for Property and Casualty only.
Start: 11/01/2020"
P32,"Payment adjusted due to Apportionment.
Start: 08/01/2022"
W1,"Workers' compensation jurisdictional fee schedule adjustment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply.
Start: 02/29/2000 | Last Modified: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P12"
W2,"Payment reduced or denied based on workers' compensation jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Workers' Compensation only.
Start: 10/17/2010 | Last Modified: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P13"
W3,"The Benefit for this Service is included in the payment/allowance for another service/procedure that has been performed on the same day. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present. For use by Property and Casualty only.
Start: 09/30/2012 | Stop: 07/01/2014
Notes: Use code P14"
W4,"Workers' Compensation Medical Treatment Guideline Adjustment.
Start: 09/30/2012 | Stop: 07/01/2014
Notes: Use code P15"
W5,"Medical provider not authorized/certified to provide treatment to injured workers in this jurisdiction. (Use with Group Code CO or OA)
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P16"
W6,"Referral not authorized by attending physician per regulatory requirement.
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P17"
W7,"Procedure is not listed in the jurisdiction fee schedule. An allowance has been made for a comparable service.
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P18"
W8,"Procedure has a relative value of zero in the jurisdiction fee schedule, therefore no payment is due.
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P19"
W9,"Service not paid under jurisdiction allowed outpatient facility fee schedule.
Start: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P20"
Y1,"Payment denied based on Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.
Start: 09/30/2012 | Last Modified: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P21"
Y2,"Payment adjusted based on Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.
Start: 09/30/2012 | Last Modified: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P22"
Y3,"Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional fee schedule adjustment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.
Start: 09/30/2012 | Last Modified: 06/02/2013 | Stop: 07/01/2014
Notes: Use code P23"
